country,scene_type,lat,lon
Malaysia,mosque,5.7378877,115.9317752
Malaysia,mosque,5.681914,100.4681959
Malaysia,mosque,2.9198596,101.7745802
Malaysia,mosque,5.2838492,103.170696
Malaysia,mosque,6.4621254,100.4992707
Malaysia,mosque,3.0795924,101.5209177
Malaysia,mosque,2.9360719,101.6890666
Malaysia,mosque,3.1380683,101.769801
Malaysia,mosque,1.5807806,110.2975126
Malaysia,mosque,6.1323504,100.3875063
Malaysia,mosque,2.8606065,111.8776827
Malaysia,mosque,5.6764053,100.9152457
Malaysia,mosque,5.4819899,100.493173
Malaysia,mosque,3.1370974,101.4369955
Malaysia,mosque,5.4958217,100.4283282
Malaysia,mosque,2.7878528,101.6763512
Malaysia,mosque,3.2257923,101.3049577
Malaysia,mosque,5.2742415,103.1753724
Malaysia,mosque,2.9719944,101.7322813
Malaysia,mosque,3.4103267,101.5412792
Malaysia,mosque,2.520627,103.830932
Malaysia,mosque,3.1767265,101.7096499
Malaysia,mosque,6.09813,100.8350236
Malaysia,mosque,6.0017349,116.1171289
Malaysia,mosque,2.0323643,103.3255505
Malaysia,mosque,3.4025373,101.7800078
Malaysia,mosque,3.0073047,101.5600395
Malaysia,mosque,3.0748016,101.6075509
Malaysia,mosque,3.0786436,101.6217386
Malaysia,mosque,3.0908153,101.6505911
Malaysia,mosque,3.0949322,101.6263521
Malaysia,mosque,3.1191203,101.6409623
Malaysia,mosque,3.1292032,101.63163
Malaysia,mosque,3.0886175,101.6416483
Malaysia,mosque,3.2373874,101.6533172
Malaysia,mosque,4.2432054,117.8943352
Malaysia,mosque,1.4912007,103.3869199
Malaysia,mosque,6.1561525,100.3189875
Malaysia,mosque,4.2304362,103.4281353
Malaysia,mosque,3.0914937,102.0732316
Malaysia,mosque,6.0939682,102.2744289
Malaysia,mosque,0.9912517,110.3526246
Malaysia,mosque,4.4138514,101.3865275
Malaysia,mosque,3.0539055,101.5402079
Malaysia,mosque,3.1516763,101.6963447
Malaysia,mosque,3.0772045,101.5078238
Malaysia,mosque,3.1746022,101.6982911
Malaysia,mosque,3.0592913,101.5574205
Malaysia,mosque,3.1037792,101.6196917
Malaysia,mosque,3.012085,101.8016926
Malaysia,mosque,3.1351019,101.7182707
Malaysia,mosque,3.0781639,101.5126321
Malaysia,mosque,3.0564436,101.5318739
Malaysia,mosque,2.2693571,102.5365312
Malaysia,mosque,3.0668944,101.578389
Malaysia,mosque,3.1122569,101.6341355
Malaysia,mosque,3.1913884,101.6140362
Malaysia,mosque,3.1080992,101.6006546
Malaysia,mosque,3.1576525,101.6172124
Malaysia,mosque,1.4858596,103.7593379
Malaysia,mosque,3.0627071,101.7423104
Malaysia,mosque,5.2834706,115.2477617
Malaysia,mosque,3.002092,101.7170326
Malaysia,mosque,3.0713354,101.7492953
Malaysia,mosque,3.2797252,101.4638396
Malaysia,mosque,1.5815104,110.3431782
Malaysia,mosque,5.9600008,116.0673638
Malaysia,mosque,5.9957868,116.1077152
Malaysia,mosque,2.9242509,101.6430302
Malaysia,mosque,1.5520854,110.3902532
Malaysia,mosque,3.1123091,101.6546924
Malaysia,mosque,3.0951518,101.5954096
Malaysia,mosque,3.1089729,101.6298626
Malaysia,mosque,3.1335324,101.7308443
Malaysia,mosque,6.129795,102.2397098
Malaysia,mosque,5.8304543,102.5559689
Malaysia,mosque,3.2542391,101.5244043
Malaysia,mosque,2.9974871,101.7884646
Malaysia,mosque,3.0780979,101.6438159
Malaysia,mosque,3.0824025,101.6377212
Malaysia,mosque,1.5134438,103.9266143
Malaysia,mosque,2.122652,102.5559459
Malaysia,mosque,3.0179723,101.5642818
Malaysia,mosque,3.1674931,101.4232224
Malaysia,mosque,3.1964752,101.6284175
Malaysia,mosque,2.5187028,102.9549334
Malaysia,mosque,2.1592452,102.7807423
Malaysia,mosque,3.1095068,101.7535543
Malaysia,mosque,3.061547,101.7536667
Malaysia,mosque,3.0574752,101.7529791
Malaysia,mosque,3.0645659,101.7509779
Malaysia,mosque,3.0746452,101.5754835
Malaysia,mosque,2.9919371,101.5598649
Malaysia,mosque,2.9935739,101.5605354
Malaysia,mosque,1.4468869,103.5953416
Malaysia,mosque,3.0454022,101.5191897
Malaysia,mosque,3.0197151,101.6136647
Malaysia,mosque,3.0393421,101.636849
Malaysia,mosque,3.022206,101.6262741
Malaysia,mosque,1.5670736,103.6349929
Malaysia,mosque,2.891941,112.0913251
Malaysia,mosque,1.5587559,103.6506387
Malaysia,mosque,1.5592125,103.6376567
Malaysia,mosque,3.0566357,101.6686529
Malaysia,mosque,1.49017,103.3955074
Malaysia,mosque,3.0710819,101.6041106
Malaysia,mosque,3.0633972,101.6199983
Malaysia,mosque,1.4568474,103.7512761
Malaysia,mosque,3.0589287,101.6336565
Malaysia,mosque,3.0313897,101.5845092
Malaysia,mosque,3.0376444,101.5738019
Malaysia,mosque,3.0377725,101.5734897
Malaysia,mosque,3.0398761,101.5761552
Malaysia,mosque,3.0382053,101.5920561
Malaysia,mosque,3.0451721,101.5875566
Malaysia,mosque,3.0436674,101.5840294
Malaysia,mosque,3.0427649,101.5905098
Malaysia,mosque,3.0458348,101.5896367
Malaysia,mosque,3.0434778,101.602473
Malaysia,mosque,1.8550825,103.0862624
Malaysia,mosque,1.8552336,103.0812169
Malaysia,mosque,3.0480718,101.602073
Malaysia,mosque,3.0545241,101.6017556
Malaysia,mosque,6.5051087,100.4205029
Malaysia,mosque,5.6796516,100.3690964
Malaysia,mosque,3.1970477,101.7622832
Malaysia,mosque,2.9291478,101.7771183
Malaysia,mosque,1.5351498,103.6725206
Malaysia,mosque,1.5342779,103.6722976
Malaysia,mosque,3.0296397,101.6113201
Malaysia,mosque,3.0288604,101.6082908
Malaysia,mosque,3.2552715,101.5303073
Malaysia,mosque,3.0471922,101.6397726
Malaysia,mosque,3.0544342,101.6302237
Malaysia,mosque,1.5587851,110.3405925
Malaysia,mosque,1.5593674,110.3348483
Malaysia,mosque,3.2010615,101.5579928
Malaysia,mosque,3.0438625,101.4989186
Malaysia,mosque,3.0792989,101.7567897
Malaysia,mosque,3.0773561,101.7792354
Malaysia,mosque,3.0842388,101.7705507
Malaysia,mosque,3.0790695,101.7610064
Malaysia,mosque,5.8919175,116.0434547
Malaysia,mosque,3.1410863,101.5263676
Malaysia,mosque,3.0801257,101.6283635
Malaysia,mosque,2.967115,101.8206028
Malaysia,mosque,2.9683338,101.8255566
Malaysia,mosque,5.957515,116.0531797
Malaysia,mosque,3.2370638,101.7058291
Malaysia,mosque,3.2274902,101.7006337
