country,scene_type,lat,lon
Indonesia,beach,-8.3561117,116.0363837
Indonesia,beach,-8.7277695,115.8405504
Indonesia,beach,-8.8680049,116.1400464
Indonesia,beach,-8.8835539,116.1599042
Indonesia,beach,-8.8876763,116.1606389
Indonesia,beach,-8.9097394,116.2982171
Indonesia,beach,-2.5190251,140.7374901
Indonesia,beach,2.0773532,128.1944294
Indonesia,beach,5.5604589,95.2866126
Indonesia,beach,-8.84823,115.1576276
Indonesia,beach,-8.6223322,115.0881228
Indonesia,beach,-8.6601024,115.1310312
Indonesia,beach,-8.5313514,115.5100878
Indonesia,beach,-8.5753768,115.2902981
Indonesia,beach,-8.6634024,115.453704
Indonesia,beach,-8.6889726,115.4297624
Indonesia,beach,-8.6817038,115.4334663
Indonesia,beach,-8.6800549,115.4420452
Indonesia,beach,-8.6787319,115.4456446
Indonesia,beach,-8.8056413,115.1132102
Indonesia,beach,-8.7995507,115.1171766
Indonesia,beach,-8.807594,115.1089417
Indonesia,beach,-8.6746011,115.5073962
Indonesia,beach,-8.7153374,115.4587561
Indonesia,beach,-8.7010371,115.4693429
Indonesia,beach,-8.7066978,115.4649921
Indonesia,beach,-8.7512669,115.4730141
Indonesia,beach,-8.7521244,115.4751749
Indonesia,beach,-8.7328553,115.4508915
Indonesia,beach,-8.7733399,115.621854
Indonesia,beach,-8.7090841,115.4447962
Indonesia,beach,-8.6948979,115.4509624
Indonesia,beach,-8.7177935,115.9150717
Indonesia,beach,-8.7407914,115.9258932
Indonesia,beach,-8.7494861,115.929817
Indonesia,beach,-8.5025535,116.0445274
Indonesia,beach,-6.8525817,112.0226605
Indonesia,beach,-6.8405358,112.0146741
Indonesia,beach,-6.8946426,112.0890605
Indonesia,beach,-6.6528779,111.2905835
Indonesia,beach,-6.8974101,112.1703881
Indonesia,beach,-10.4417814,121.9659547
Indonesia,beach,-8.6839637,115.1517779
Indonesia,beach,-8.6547818,115.1248805
Indonesia,beach,-6.8868737,112.052732
Indonesia,beach,-7.1661304,107.4020833
Indonesia,beach,-2.53723,107.6215372
Indonesia,beach,-7.7544859,110.6335802
Indonesia,beach,-5.1142621,119.4009205
Indonesia,beach,-8.7201084,115.4532478
Indonesia,beach,-8.7191903,115.4559168
Indonesia,beach,1.4130889,124.7077058
Indonesia,beach,1.1874639,104.0741383
