country,scene_type,lat,lon
Thailand,beach,16.6376449,102.545825
Thailand,beach,7.8062971,98.2986756
Thailand,beach,7.9430472,98.4425883
Thailand,beach,7.7675786,98.3060242
Thailand,beach,7.4669216,98.3074401
Thailand,beach,12.016528,102.283985
Thailand,beach,7.6076514,98.3675741
Thailand,beach,7.6104389,98.3705126
Thailand,beach,7.7451031,98.3820778
Thailand,beach,11.9742549,102.3251059
Thailand,beach,11.8005169,102.4518174
Thailand,beach,8.0573563,98.4578584
Thailand,beach,11.9503792,102.4392057
Thailand,beach,11.9083058,102.3987342
Thailand,beach,11.9063503,102.3993959
Thailand,beach,11.90536,102.4008477
Thailand,beach,11.9026084,102.4043719
Thailand,beach,11.9017678,102.4082332
Thailand,beach,11.9028445,102.4130693
Thailand,beach,11.9024063,102.4153904
Thailand,beach,11.9026937,102.4140766
Thailand,beach,11.9034882,102.4116662
Thailand,beach,9.6582359,99.6663456
Thailand,beach,8.0788066,98.6804784
Thailand,beach,11.9533274,102.4333452
Thailand,beach,7.960772,98.8112294
Thailand,beach,7.6054109,98.375847
Thailand,beach,7.6010012,98.3743415
Thailand,beach,7.676954,98.7658134
Thailand,beach,7.7437271,98.7624347
Thailand,beach,7.7347601,98.7893004
Thailand,beach,7.7443446,98.7876318
Thailand,beach,7.7480408,98.7852398
Thailand,beach,7.7550071,98.7811388
Thailand,beach,7.7288043,98.7862259
Thailand,beach,7.7628569,98.7610775
Thailand,beach,7.7357041,98.7771221
Thailand,beach,7.7770739,98.7636825
Thailand,beach,7.7303501,98.7826942
Thailand,beach,7.7319958,98.7818558
Thailand,beach,7.7334127,98.7815731
Thailand,beach,7.734019,98.7807254
Thailand,beach,7.7756257,98.3053142
Thailand,beach,8.1059871,98.6229775
Thailand,beach,11.6341137,102.544824
Thailand,beach,11.6381939,102.5431438
Thailand,beach,11.5916797,102.568239
Thailand,beach,11.5954958,102.5499971
Thailand,beach,11.6188875,102.5420979
Thailand,beach,11.7397471,102.5474188
Thailand,beach,11.6146746,102.5362212
Thailand,beach,7.7779331,98.2967368
Thailand,beach,12.2351429,99.9923465
Thailand,beach,7.4299265,98.8950691
Thailand,beach,11.7407368,99.8058584
Thailand,beach,7.9682587,98.2793916
Thailand,beach,7.9820988,98.2763554
Thailand,beach,7.9755885,98.2781055
Thailand,beach,7.9247384,98.2738819
Thailand,beach,7.7590194,98.3127622
Thailand,beach,7.7613198,98.3170257
Thailand,beach,7.8860618,98.2860793
Thailand,beach,12.8364328,100.9063319
Thailand,beach,7.7872796,98.290712
Thailand,beach,8.0115137,98.8369569
Thailand,beach,8.8594418,98.2663603
Thailand,beach,11.2166857,99.5792944
Thailand,beach,8.6324069,98.2438164
Thailand,beach,8.66745,98.2440521
Thailand,beach,8.6844948,98.2409935
Thailand,beach,8.6996858,98.238897
Thailand,beach,8.623221,98.2327977
Thailand,beach,7.4883299,99.0789361
Thailand,beach,7.4858227,99.0829879
Thailand,beach,12.7426611,100.8409682
Thailand,beach,11.9426623,102.4075671
Thailand,beach,11.9755333,102.3923937
Thailand,beach,12.458511,99.9794708
Thailand,beach,12.453462,99.9817177
Thailand,beach,13.2895524,100.9096095
Thailand,beach,6.831983,99.5340031
